SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,SFARI,SF,ARI,4765826,3,48
Bears,CHIMIN,CHI,MIN,4765821,-3,48.5
Bengals,CINPIT,CIN,PIT,4765825,-6,48.5
Bills,TBBUF,TB,BUF,4765820,-5.5,48
Broncos,KCDEN,KC,DEN,4765828,3.5,44.5
Browns,BALCLE,BAL,CLE,4765829,7.5,39.5
Buccaneers,TBBUF,TB,BUF,4765820,-5.5,48
Bucs,TBBUF,TB,BUF,4765820,-5.5,48
Cardinals,SFARI,SF,ARI,4765826,3,48
Chargers,LACJAX,LAC,JAX,4765819,3,44
Chiefs,KCDEN,KC,DEN,4765828,3.5,44.5
Commanders,WASMIA,WAS,MIA,4765639,-3,47.5
Cowboys,DALLV,DAL,LV,4765831,3,50
Dolphins,WASMIA,WAS,MIA,4765639,-3,47.5
Eagles,DETPHI,DET,PHI,4765830,-2.5,47
Falcons,CARATL,CAR,ATL,4765824,-3.5,42.5
Giants,GBNYG,GB,NYG,4765822,7,44
Jaguars,LACJAX,LAC,JAX,4765819,3,44
Jets,NYJNE,NYJ,NE,4765818,-13,43.5
Lions,DETPHI,DET,PHI,4765830,-2.5,47
Packers,GBNYG,GB,NYG,4765822,7,44
Panthers,CARATL,CAR,ATL,4765824,-3.5,42.5
Patriots,NYJNE,NYJ,NE,4765818,-13,43.5
Pats,NYJNE,NYJ,NE,4765818,-13,43.5
Raiders,DALLV,DAL,LV,4765831,3,50
Rams,SEALAR,SEA,LAR,4765827,-3,48.5
Ravens,BALCLE,BAL,CLE,4765829,7.5,39.5
Seahawks,SEALAR,SEA,LAR,4765827,-3,48.5
Steelers,CINPIT,CIN,PIT,4765825,-6,48.5
Texans,HOUTEN,HOU,TEN,4765823,7,38
Titans,HOUTEN,HOU,TEN,4765823,7,38
Vikings,CHIMIN,CHI,MIN,4765821,-3,48.5
,,,,,,
,,,,,,
GameIds,"[4765639, 4765818, 4765819, 4765820, 4765821, 4765822, 4765823, 4765824, 4765825, 4765826, 4765827, 4765828, 4765829, 4765830, 4765831]",,,,,
