Source,Winner,Winner Score,Loser,Loser Score
TerrySullivan,Jets,27,Patriots,17
TerrySullivan,Buccaneers,28,Broncos,16
TerrySullivan,Bears,21,Colts,17
TerrySullivan,Packers,20,Titans,17
TerrySullivan,Seahawks,27,Dolphins,20
TerrySullivan,Texans,23,Vikings,20
TerrySullivan,Steelers,20,Chargers,17
TerrySullivan,Browns,23,Giants,13
TerrySullivan,Eagles,27,Saints,24
TerrySullivan,Raiders,21,Panthers,16
TerrySullivan,Cowboys,27,Ravens,26
TerrySullivan,Lions,24,Cardinals,20
TerrySullivan,49ers,27,Rams,17
TerrySullivan,Chiefs,30,Falcons,24
TerrySullivan,Bills,30,Jaguars,20
TerrySullivan,Bengals,30,Commanders,21
PetePrisco,Jets,20,Pats,16
PetePrisco,Browns,21,Giants,10
PetePrisco,Colts,23,Bears,20
PetePrisco,Vikings,24,Texans,21
PetePrisco,Saints,27,Eagles,20
PetePrisco,Chargers,21,Steelers,17
PetePrisco,Bucs,26,Broncos,13
PetePrisco,Titans,21,Packers,17
PetePrisco,Raiders,24,Panthers,10
PetePrisco,Seahawks,31,Dolphins,16
PetePrisco,Cardinals,31,Lions,29
PetePrisco,Ravens,27,Cowboys,24
PetePrisco,49ers,27,Rams,18
PetePrisco,Chiefs,32,Falcons,23
PetePrisco,Bills,28,Jaguars,17
PetePrisco,Bengals,29,Commanders,16
BleacherReport,Jets,21,Patriots,17
BleacherReport,Browns,21,Giants,14
BleacherReport,Buccaneers,22,Broncos,12
BleacherReport,Chargers,17,Steelers,16
BleacherReport,Saints,28,Eagles,23
BleacherReport,Texans,27,Vikings,21
BleacherReport,Packers,18,Titans,16
BleacherReport,Bears,23,Colts,20
BleacherReport,Raiders,24,Panthers,20
BleacherReport,Seahawks,26,Dolphins,14
BleacherReport,49ers,26,Rams,21
BleacherReport,Lions,35,Cardinals,31
BleacherReport,Cowboys,30,Ravens,28
BleacherReport,Chiefs,28,Falcons,24
BleacherReport,Bills,30,Jaguars,21
BleacherReport,Bengals,34,Commanders,20
BillBender,Jets,24,Patriots,19
BillBender,Browns,22,Giants,13
BillBender,Packers,21,Titans,16
BillBender,Colts,20,Bears,17
BillBender,Vikings,26,Texans,24
BillBender,Eagles,27,Saints,21
BillBender,Chargers,20,Steelers,19
BillBender,Buccaneers,27,Broncos,17
BillBender,Raiders,28,Panthers,14
BillBender,Seahawks,24,Dolphins,20
BillBender,Ravens,30,Cowboys,24
BillBender,49ers,26,Rams,19
BillBender,Lions,23,Cardinals,18
BillBender,Chiefs,28,Falcons,21
BillBender,Bills,30,Jaguars,27
BillBender,Bengals,31,Commanders,21
DataSkrive,Patriots,26,Jets,14
DataSkrive,Steelers,14,Chargers,13
DataSkrive,Broncos,23,Buccaneers,17
DataSkrive,Browns,28,Giants,11
DataSkrive,Saints,40,Eagles,17
DataSkrive,Vikings,23,Texans,18
DataSkrive,Packers,26,Titans,17
DataSkrive,Colts,21,Bears,18
DataSkrive,Raiders,29,Panthers,13
DataSkrive,Seahawks,30,Dolphins,12
DataSkrive,49ers,25,Rams,22
DataSkrive,Ravens,27,Cowboys,26
DataSkrive,Cardinals,29,Lions,19
DataSkrive,Chiefs,24,Falcons,18
DataSkrive,Bills,33,Jaguars,10
DataSkrive,Bengals,34,Commanders,9
Sportsnaut,Dolphins,31,Bills,28
Sportsnaut,Cowboys,27,Saints,17
Sportsnaut,Lions,31,Buccaneers,24
Sportsnaut,Colts,23,Packers,13
Sportsnaut,Jets,23,Titans,17
Sportsnaut,49ers,28,Vikings,21
Sportsnaut,Seahawks,20,Patriots,10
Sportsnaut,Commanders,23,Giants,16
Sportsnaut,Chargers,27,Panthers,13
Sportsnaut,Jaguars,20,Browns,17
Sportsnaut,Ravens,27,Raiders,17
Sportsnaut,Rams,27,Cardinals,24
Sportsnaut,Steelers,23,Broncos,12
Sportsnaut,Chiefs,31,Bengals,17
Sportsnaut,Texans,24,Bears,17
Sportsnaut,Eagles,34,Falcons,30
